Repository,Category,Deployment Frequency (DF)
facebook/docusaurus,Non-ML,19.42
oven-sh/bun,Non-ML,7.11
williamFalcon/pytorch-lightning,ML,13.54
alan-turing-institute/sktime,ML,24.91
rustdesk/rustdesk,Non-ML,59.48
mlflow/mlflow,ML,21.84
AUTOMATIC1111/stable-diffusion-webui,ML,40.06
gojek/feast,ML,17.48
obsproject/obs-studio,Non-ML,27.7
Texera/texera,ML,null
hwchase17/langchain,Non-ML,0.95
strapi/strapi,Non-ML,9.61
Homebrew/brew,Non-ML,7.44
pandas-dev/pandas,ML,50.16
mlpack/mlpack,ML,75.48
opencv/dldt,ML,58.27
yt-dlp/yt-dlp,Non-ML,14.63
jesseduffield/lazygit,Non-ML,15.21
msdslab/automated-systematic-review,ML,23.86
JohnSnowLabs/spark-nlp,ML,19.53
espnet/espnet,ML,47.4
hoppscotch/hoppscotch,Non-ML,29.14
pytorch/vision,ML,65.33
rflamary/POT,ML,140.45
microsoft/TypeScript,Non-ML,26.36
pfnet/optuna,ML,45.81
iterative/dvc,ML,5.62
chartjs/Chart.js,Non-ML,51.29
pytorch/ignite,ML,108.65
smistad/FAST,ML,126.65
textlint/textlint,ML,5.52
arraiyopensource/kornia,ML,58.34
jestjs/jest,Non-ML,11.66
mishoo/UglifyJS,Non-ML,14.04
sharkdp/bat,Non-ML,62.34
apache/superset,ML,21.61
serverless/serverless,Non-ML,7.86
intel-analytics/BigDL,ML,150.84
SeldonIO/seldon-core,ML,37.01
square/okhttp,Non-ML,null
syncthing/syncthing,Non-ML,20.77
biolab/orange3,ML,86.7
coder/code-server,Non-ML,18.21
AppFlowy-IO/AppFlowy,Non-ML,12.55
anuraghazra/github-readme-stats,Non-ML,null
denoland/deno,Non-ML,7.56
diffgram/diffgram,ML,4.64
CyberReboot/poseidon,ML,25.91
Drakkar-Software/OctoBot,ML,28.24
zhenghaoz/gorse,ML,0.6
TryGhost/Ghost,Non-ML,5.13
gohugoio/hugo,Non-ML,10.32
prest/prest,Non-ML,56.62
VowpalWabbit/vowpal_wabbit,ML,126.27
geomstats/geomstats,ML,191.92
puppeteer/puppeteer,Non-ML,5.7
rclone/rclone,Non-ML,31.82
ultralytics/yolov3,ML,193.58
zalandoresearch/flair,ML,88.36
onnx/onnx,ML,89.77
gogs/gogs,Non-ML,58.54
nilearn/nilearn,ML,117.08
scikit-learn/scikit-learn,ML,73.13
caddyserver/caddy,Non-ML,45.01
Leaflet/Leaflet,Non-ML,139.08
macbre/analyze-css,Non-ML,19.44
sherlock-project/sherlock,Non-ML,null
pymc-devs/pymc,Non-ML,34.6
tensorflow/addons,ML,58.89
albu/albumentations,ML,49.98
