facebook/docusaurus,Non-ML
oven-sh/bun,Non-ML
williamFalcon/pytorch-lightning,ML
alan-turing-institute/sktime,ML
rustdesk/rustdesk,Non-ML
mlflow/mlflow,ML
AUTOMATIC1111/stable-diffusion-webui,ML
gojek/feast,ML
obsproject/obs-studio,Non-ML
Texera/texera,ML
hwchase17/langchain,Non-ML
strapi/strapi,Non-ML
Homebrew/brew,Non-ML
pandas-dev/pandas,ML
mlpack/mlpack,ML
opencv/dldt,ML
yt-dlp/yt-dlp,Non-ML
jesseduffield/lazygit,Non-ML
msdslab/automated-systematic-review,ML
JohnSnowLabs/spark-nlp,ML
espnet/espnet,ML
hoppscotch/hoppscotch,Non-ML
pytorch/vision,ML
rflamary/POT,ML
microsoft/TypeScript,Non-ML
pfnet/optuna,ML
iterative/dvc,ML
chartjs/Chart.js,Non-ML
pytorch/ignite,ML
smistad/FAST,ML
textlint/textlint,ML
arraiyopensource/kornia,ML
jestjs/jest,Non-ML
mishoo/UglifyJS,Non-ML
sharkdp/bat,Non-ML
apache/superset,ML
serverless/serverless,Non-ML
intel-analytics/BigDL,ML
SeldonIO/seldon-core,ML
square/okhttp,Non-ML
syncthing/syncthing,Non-ML
biolab/orange3,ML
coder/code-server,Non-ML
AppFlowy-IO/AppFlowy,Non-ML
anuraghazra/github-readme-stats,Non-ML
denoland/deno,Non-ML
diffgram/diffgram,ML
CyberReboot/poseidon,ML
Drakkar-Software/OctoBot,ML
zhenghaoz/gorse,ML
TryGhost/Ghost,Non-ML
gohugoio/hugo,Non-ML
prest/prest,Non-ML
VowpalWabbit/vowpal_wabbit,ML
geomstats/geomstats,ML
puppeteer/puppeteer,Non-ML
rclone/rclone,Non-ML
ultralytics/yolov3,ML
zalandoresearch/flair,ML
onnx/onnx,ML
gogs/gogs,Non-ML
nilearn/nilearn,ML
scikit-learn/scikit-learn,ML
caddyserver/caddy,Non-ML
Leaflet/Leaflet,Non-ML
macbre/analyze-css,Non-ML
sherlock-project/sherlock,Non-ML
pymc-devs/pymc,Non-ML
tensorflow/addons,ML
albu/albumentations,ML
ohmyzsh/ohmyzsh,Non-ML
vitejs/vite,Non-ML
vuejs/core,Non-ML
chakki-works/doccano,ML
fireeye/flare-floss,Non-ML
microsoft/monaco-editor,Non-ML
uber/ludwig,ML
apache/incubator-mxnet,ML
facebookresearch/fairseq,Non-ML
muukii/Pixel,Non-ML
skorch-dev/skorch,ML
scrapy/scrapy,Non-ML
remix-run/react-router,Non-ML
henrysky/astroNN,ML
microsoft/dowhy,ML
srvrco/getssl,Non-ML
sveltejs/svelte,Non-ML
Acellera/moleculekit,ML
comic/grand-challenge.org,ML
nipy/dipy,ML
ultralytics/yolov5,ML
criteo/tf-yarn,ML
jacomyal/sigma.js,Non-ML
RubixML/RubixML,ML
shimat/opencvsharp,ML
BurntSushi/ripgrep,Non-ML
p-org/P,Non-ML
microsoft/pai,ML
etcd-io/etcd,Non-ML
Kong/kong,Non-ML
prometheus/prometheus,Non-ML
OpenKore/openkore,ML
tensorly/tensorly,ML
allenai/allennlp,ML
huggingface/pytorch-pretrained-BERT,ML
huggingface/transformers,ML
microsoft/LightGBM,ML
videojs/video.js,Non-ML
analysiscenter/batchflow,ML
postcss/postcss-loader,Non-ML
QuantumBFS/Yao.jl,ML
ant-design/ant-design,Non-ML
flutter/flutter,Non-ML
hexojs/hexo,Non-ML
FluxML/Metalhead.jl,ML
FluxML/NNlib.jl,ML
junegunn/fzf,Non-ML
styled-components/styled-components,Non-ML
BehaviorTree/BehaviorTree.CPP,ML
tesseract-ocr/tesseract,ML
gin-gonic/gin,Non-ML
mne-tools/mne-cpp,ML
FluxML/Flux.jl,ML
OpenNMT/OpenNMT-py,ML
polyaxon/polyaxon-chart,ML
SMTorg/smt,ML
sorgerlab/indra,ML
streamich/react-use,Non-ML
deepchem/deepchem,ML
deepfakes/faceswap,ML
jekyll/jekyll,Non-ML
mozilla/pdf.js,Non-ML
Tencent/ncnn,ML
tiangolo/fastapi,Non-ML
vuejs/vue,Non-ML
expressjs/express,Non-ML
google/zx,Non-ML
h5bp/html5-boilerplate,Non-ML
dmlc/xgboost,ML
h2oai/h2o-3,ML
jwilder/docker-gen,Non-ML
jtablesaw/tablesaw,ML
TuringLang/Turing.jl,ML
topjohnwu/Magisk,Non-ML
h2oai/sparkling-water,ML
kendryte/nncase,ML
pallets/flask,Non-ML
dbiir/UER-py,ML
twbs/bootstrap,Non-ML
ytdl-org/youtube-dl,Non-ML
amark/gun,ML
agalwood/Motrix,Non-ML
davisking/dlib,ML
microsoft/playwright,Non-ML
nolimits4web/swiper,Non-ML
reduxjs/redux,Non-ML
square/retrofit,Non-ML
websocket-client/websocket-client,Non-ML
BLKSerene/Wordless,ML
coin-or/Gravity,ML
adaltas/node-csv,Non-ML
cmusphinx/pocketsphinx,Non-ML
DandyDev/slack-machine,ML
google/guava,Non-ML
hashicorp/terraform,Non-ML
dmlc/tvm,ML
EmergentOrder/onnx-scala,ML
LaurentMazare/tch-rs,ML
materialsvirtuallab/megnet,ML
moby/moby,Non-ML
netdata/netdata,Non-ML
ofek/hatch,Non-ML
prettier/prettier,Non-ML
microsoft/onnxruntime,ML
pytorch/tnt,ML
searchkit/searchkit,Non-ML
yasserfarouk/negmas,ML
zhongkaifu/Seq2SeqSharp,ML
tailwindlabs/tailwindcss,Non-ML
traefik/traefik,Non-ML
vuetifyjs/vuetify,Non-ML
yahoo/react-stickynode,Non-ML
apache/spark,ML
django/django,Non-ML
git/git,Non-ML
